id;b01;b02;b03;b04;b05;b06;b07;b08;b09;b10;gender;year;fin_state
Номер респондента;Були засмучені через те, що сталось несподівано?;Bідчували, що неспроможні контролювати важливі речі у вашому житті?;Відчували себе знервовано чи в стані стресу?;Відчували себе впевнено стосовно того, що здатні впоратись з власними проблемами?;Відчували, що події відбуваються так, як вам треба?;Були впевненими, що не можете впоратись з усім тим, що маєте зробити?;Відчували себе здатними контролювати те, що вас дратує?;Були впевненими, що ви все контролюєте?;Були злими через події, які ви не могли контролювати?;Здавалось, що труднощі накопичуються так швидко, що ви не можете їх подолати?;Стать;Курс;Фінансове становище родини
393;3;3;3;4;4;4;2;2;2;3;2;4;3
394;4;4;4;1;1;3;1;1;4;4;2;2;4
395;3;3;2;3;2;0;2;1;3;2;1;4;3
396;2;2;3;3;3;3;3;2;2;2;1;1;4
397;0;1;3;3;3;1;3;1;1;1;1;4;4
398;4;3;4;1;3;4;0;0;4;4;2;4;5
399;1;2;3;4;3;3;1;2;2;1;2;4;3
400;2;3;4;4;2;2;3;2;3;2;2;3;3
401;2;4;4;1;1;4;2;0;3;3;2;2;4
402;3;2;3;3;2;0;3;0;3;2;2;2;3
403;2;2;2;3;3;2;2;3;3;2;1;2;3
404;2;4;4;1;1;3;1;1;1;2;1;1;2
405;1;2;1;4;4;0;4;3;1;1;2;2;4
406;3;1;3;2;1;1;3;2;4;1;2;4;4
407;4;4;4;1;1;4;1;1;4;4;2;2;3
408;2;3;3;2;3;4;1;1;3;4;2;2;3
409;0;4;2;4;1;4;2;2;0;1;1;2;3
410;2;1;3;2;1;2;2;2;1;1;2;2;4
411;2;3;4;3;3;3;3;2;3;3;2;1;4
412;0;1;2;4;3;0;3;3;4;2;2;4;2
413;2;3;4;1;1;2;2;3;4;4;2;1;3
414;3;2;3;3;3;1;2;3;2;3;1;2;4
415;0;0;1;4;4;0;3;4;0;0;2;4;4
416;3;2;3;3;2;2;2;1;3;1;2;1;4
417;0;1;2;2;2;2;1;3;2;0;2;1;5
418;2;1;2;3;2;2;3;3;3;2;2;2;4
419;2;2;2;3;3;1;3;3;1;4;2;3;4
420;0;0;2;4;4;0;2;3;1;0;2;1;4
421;2;1;1;3;3;1;2;2;2;2;1;4;4
422;0;1;4;3;3;3;3;2;3;2;1;1;4
423;3;1;2;2;2;3;3;2;3;2;2;3;3
424;4;0;4;4;3;1;1;3;3;1;2;3;5
425;1;2;4;4;2;2;2;3;3;3;1;4;3
426;1;4;1;3;2;3;1;0;3;4;1;2;5
427;0;1;2;3;3;1;3;2;0;0;2;3;4
428;4;3;4;1;3;3;4;1;4;3;2;2;2
429;1;1;4;1;4;0;4;2;1;0;2;2;3
430;3;2;2;2;2;4;3;1;3;4;1;1;4
431;4;3;3;2;1;2;2;1;3;3;2;3;3
432;2;0;2;4;2;1;3;4;1;2;2;1;4
433;3;2;2;3;3;1;3;2;1;4;1;2;3
434;3;2;2;4;2;1;1;2;3;3;1;4;3
435;1;0;1;3;3;2;3;4;2;3;2;3;3
436;1;2;4;4;4;2;1;1;3;4;2;1;3
437;4;4;4;1;2;4;1;1;4;4;2;3;4
438;2;4;4;4;3;3;2;1;3;1;2;1;3
439;3;4;4;4;4;4;3;3;4;4;2;1;3
440;2;2;2;2;2;3;2;2;2;2;2;3;4
441;2;1;0;3;2;1;4;2;0;3;1;1;4
442;1;1;0;3;3;3;2;2;1;3;1;4;2
443;1;1;4;3;3;1;3;3;2;1;2;3;3
444;3;2;4;2;2;3;2;1;3;4;2;3;3
445;2;3;4;4;2;2;1;2;4;4;1;1;3
446;3;4;4;1;1;4;1;1;4;4;1;3;3
447;4;4;4;0;0;4;0;0;4;4;2;2;3
448;4;4;4;2;2;3;2;2;3;4;2;4;4
449;4;3;4;3;1;2;2;2;3;4;2;4;3
450;4;4;4;3;4;3;1;2;4;3;2;1;3
451;3;3;3;2;2;3;1;2;3;3;2;4;3
452;4;4;4;1;2;3;1;0;3;4;2;2;3
453;1;1;3;3;3;0;3;4;0;1;2;3;3
454;4;4;4;1;1;3;0;0;4;3;2;4;3
455;3;2;4;3;2;2;2;2;1;1;2;4;2
